dataset,loss,f1_global_mean,f1_global_std,boundary_f1_theta2_per_image_mean_mean,boundary_f1_theta2_per_image_mean_std,cldice_per_image_mean_mean,cldice_per_image_mean_std,area_error_pct_dataset_mean,area_error_pct_dataset_std,skeleton_length_error_pct_dataset_mean,skeleton_length_error_pct_dataset_std
CFD,bce,0.633451,0.003662,0.809847,0.012976,0.728249,0.008129,4.305635,3.762209,25.864753,1.346294
CFD,focal,0.613796,0.019745,0.796274,0.030462,0.711050,0.028554,5.392304,2.740204,20.980190,4.342185
CFD,bce_dice,0.682230,0.004432,0.889873,0.007182,0.807224,0.007721,4.290587,2.879129,16.413508,1.702081
CFD,focal_tversky,0.519658,0.075317,0.676320,0.119888,0.666808,0.017465,66.171897,50.073574,20.716381,8.477976
CFD,dice_boundary,0.564735,0.080781,0.697287,0.177379,0.660845,0.092292,14.009047,11.505137,32.859788,17.150795
CFD,dice_cldice,0.427314,0.107734,0.675672,0.084725,0.701485,0.070649,144.301714,102.966912,13.177342,14.778786
Crack500,bce,0.735980,0.001549,0.385571,0.005261,0.763551,0.000505,4.228798,0.722238,9.151666,1.597553
Crack500,focal,0.737101,0.001380,0.382015,0.002357,0.763695,0.005677,5.256814,1.189541,6.755139,2.818085
Crack500,bce_dice,0.737791,0.001715,0.387184,0.002021,0.770841,0.001059,6.196409,1.400517,8.327437,0.670278
Crack500,focal_tversky,0.733366,0.001696,0.364009,0.003091,0.779311,0.004061,22.719399,2.523583,6.127879,2.218993
Crack500,dice_boundary,0.739182,0.000353,0.380755,0.005205,0.776323,0.001973,2.546754,1.999203,17.259250,2.248035
Crack500,dice_cldice,0.724670,0.005408,0.349007,0.005243,0.802104,0.003556,19.485745,1.075761,63.291124,13.264770
CrackTree260,bce,0.432455,0.040524,0.764093,0.066129,0.474257,0.029178,36.237954,8.514785,43.205188,6.072690
CrackTree260,focal,0.481323,0.040058,0.842300,0.056835,0.517264,0.045918,33.511872,3.987200,33.431052,6.632748
CrackTree260,bce_dice,0.630860,0.023126,0.934528,0.021371,0.666048,0.028294,17.803412,4.591897,18.096056,0.777948
CrackTree260,focal_tversky,0.490335,0.205024,0.899435,0.024234,0.643868,0.027765,118.885664,184.073647,13.149888,6.965650
CrackTree260,dice_boundary,0.575042,0.067173,0.922273,0.024893,0.633104,0.050769,29.324664,18.858994,24.751569,6.087544
CrackTree260,dice_cldice,0.395540,0.172752,0.821894,0.081055,0.596942,0.032738,210.940328,168.085064,23.061719,0.552654
DeepCrack,bce,0.840007,0.005956,0.825846,0.005828,0.878592,0.005764,15.158752,2.904253,1.842561,0.916772
DeepCrack,focal,0.832221,0.004863,0.813883,0.007597,0.867147,0.009058,16.469686,2.359422,3.593461,3.066182
DeepCrack,bce_dice,0.835397,0.005405,0.827380,0.008999,0.880912,0.005374,17.528738,1.683793,2.397278,1.067807
DeepCrack,focal_tversky,0.834080,0.020161,0.827785,0.024183,0.877246,0.026438,12.153488,4.640926,2.668029,2.811888
DeepCrack,dice_boundary,0.842753,0.008069,0.834881,0.009520,0.887710,0.005781,16.174454,1.167603,9.893411,3.232398
DeepCrack,dice_cldice,0.806580,0.059381,0.788813,0.079798,0.865431,0.037122,12.994483,3.227169,6.868391,6.026853
