dataset,run_id,loss,seed,threshold_convention,threshold,threshold_mean,threshold_min,threshold_max,n_images,tp_global_count,fp_global_count,fn_global_count,f1_global,iou_global,precision_global,recall_global,f1_per_image_mean,iou_per_image_mean,precision_per_image_mean,recall_per_image_mean,case_A_both_empty,case_B_gt_empty_pred_nonempty,case_C_gt_nonempty_pred_empty,case_D_both_nonempty,ods_selected_f1_global
Crack500,bce_seed0,bce,0,fixed_0.5,0.5,0.5,0.5,0.5,1124,10704172,4006046,3773196,0.7334742928037968,0.5791230992283135,0.7276691616670806,0.739372792071045,0.6846176157509191,0.5439540825394831,0.6977479494050715,0.7199050748918256,0,0,10,1114,
Crack500,bce_seed0,bce,0,val_selected,0.43,0.43000000000000005,0.43,0.43,1124,11127382,4661230,3349986,0.7353062415292682,0.5814105087530445,0.7047726551263658,0.7686053155518323,0.6883679390255204,0.5478235408364059,0.6774319134791991,0.7513162528952869,0,0,9,1115,
Crack500,bce_seed0,bce,0,ODS_test_oracle,0.44,0.44,0.44,0.44,1124,11069399,4563321,3407969,0.7352618165712435,0.5813549604218629,0.7080916820617269,0.7646002367281125,0.6880155789763926,0.5475130270285629,0.6805119905327983,0.7469660406077983,0,0,9,1115,0.7352618165712435
Crack500,bce_seed0,bce,0,OIS_test_oracle,,0.408567615658363,0.01,0.97,1124,11883996,4706977,2593372,0.7650228893779684,0.6194632133648555,0.7162928901156068,0.8208671631473345,0.7344941945729598,0.5968536833567599,0.6977312861765509,0.7966972582475446,0,0,0,1124,
Crack500,bce_seed1,bce,1,fixed_0.5,0.5,0.5,0.5,0.5,1124,10823957,4217415,3653411,0.7333617220789235,0.578982756847191,0.7196123465332817,0.747646740761166,0.6830758997361718,0.54376237479091,0.6924550673925028,0.7253065190027962,0,0,19,1105,
Crack500,bce_seed1,bce,1,val_selected,0.47,0.46999999999999986,0.47,0.47,1124,11016302,4517507,3461066,0.7341466147762216,0.5799618054870064,0.709182274611462,0.7609326501889018,0.6849479487531995,0.5455808669236527,0.6842068943573107,0.7395981771052402,0,0,17,1107,
Crack500,bce_seed1,bce,1,ODS_test_oracle,0.46,0.4600000000000001,0.46,0.46,1124,11078043,4618030,3399325,0.7342909945206448,0.580142032127322,0.7057843703963406,0.7651973065822462,0.6854394036706264,0.5460410796365812,0.6820565478963025,0.7442129916117904,0,0,15,1109,0.7342909945206448
Crack500,bce_seed1,bce,1,OIS_test_oracle,,0.42654804270462626,0.01,0.97,1124,11903670,4633561,2573698,0.7676172114944965,0.6228723888828219,0.7198103479355159,0.822226111818115,0.7369083373591709,0.5999444952437551,0.6988335048743776,0.7977984917755708,0,0,1,1123,
Crack500,bce_seed2,bce,2,fixed_0.5,0.5,0.5,0.5,0.5,1124,10420546,3798233,4056822,0.7262679550672778,0.5701889639634833,0.7328720700982834,0.7197818001172589,0.6732532333000855,0.5327081542499539,0.7115378875534369,0.6952129217004709,0,0,8,1116,
Crack500,bce_seed2,bce,2,val_selected,0.44,0.44,0.44,0.44,1124,10848815,4443724,3628553,0.7288443998162305,0.5733715051964231,0.7094188218189276,0.7493637655684375,0.6793080505557831,0.5384507048800459,0.6910749577575542,0.7276488632772656,0,0,7,1117,
Crack500,bce_seed2,bce,2,ODS_test_oracle,0.43,0.43000000000000005,0.43,0.43,1124,10920712,4566864,3556656,0.7288992096898296,0.5734393489850366,0.7051272581325831,0.754329930689059,0.6799403230291594,0.5389852320668415,0.6872208035348079,0.7330518717901253,0,0,7,1117,0.7288992096898296
Crack500,bce_seed2,bce,2,OIS_test_oracle,,0.3994661921708185,0.01,0.96,1124,11866355,4640418,2611013,0.7659631422410581,0.6206971351180518,0.7188779418000114,0.8196486405540012,0.7354519744377551,0.5982649965767365,0.698494623805245,0.794833813271719,0,0,1,1123,
Crack500,focal_seed0,focal,0,fixed_0.5,0.5,0.5,0.5,0.5,1124,10496687,3580936,3980681,0.7351910564426373,0.5812664910281718,0.7456292159549947,0.7250411124453008,0.6805181882654973,0.5418160812954582,0.7197683625121414,0.6960745308134886,0,0,13,1111,
Crack500,focal_seed0,focal,0,val_selected,0.47,0.46999999999999986,0.47,0.47,1124,11019651,4328623,3457717,0.7389380587348295,0.585964919370641,0.7179733043598258,0.7611639767670477,0.688420744173331,0.5494561750097526,0.6969917917992475,0.7354294517388104,0,0,11,1113,
Crack500,focal_seed0,focal,0,ODS_test_oracle,0.46,0.4600000000000001,0.46,0.46,1124,11172308,4579048,3305060,0.739184889180238,0.5862754045671547,0.7092918222405741,0.771708503921431,0.6898658644371205,0.55071718251593,0.6890321822625121,0.746993725570203,0,0,11,1113,0.739184889180238
Crack500,focal_seed0,focal,0,OIS_test_oracle,,0.4325,0.02,0.81,1124,12017529,4784978,2459839,0.7683872777624591,0.6238870903886785,0.7152223772321594,0.8300907319617765,0.7422107293547966,0.6055599767134419,0.700106348936609,0.8080693869341711,0,0,0,1124,
Crack500,focal_seed1,focal,1,fixed_0.5,0.5,0.5,0.5,0.5,1124,11230683,4695647,3246685,0.7387708560978339,0.5857546661284102,0.7051645294301951,0.7757406594900399,0.693826746583822,0.5530988088527127,0.6821125286630325,0.7551093736884125,0,0,8,1116,
Crack500,focal_seed1,focal,1,val_selected,0.5,0.5,0.5,0.5,1124,11230683,4695647,3246685,0.7387708560978339,0.5857546661284102,0.7051645294301951,0.7757406594900399,0.693826746583822,0.5530988088527127,0.6821125286630325,0.7551093736884125,0,0,8,1116,
Crack500,focal_seed1,focal,1,ODS_test_oracle,0.5,0.5,0.5,0.5,1124,11230683,4695647,3246685,0.7387708560978339,0.5857546661284102,0.7051645294301951,0.7757406594900399,0.693826746583822,0.5530988088527127,0.6821125286630325,0.7551093736884125,0,0,8,1116,0.7387708560978339
Crack500,focal_seed1,focal,1,OIS_test_oracle,,0.47752669039145906,0.07,0.83,1124,12012440,4771811,2464928,0.768510421677137,0.6240494724476301,0.7156971139194713,0.8297392177915213,0.7387076469477333,0.6011869960863546,0.696941755304734,0.8046225042471038,0,0,0,1124,
Crack500,focal_seed2,focal,2,fixed_0.5,0.5,0.5,0.5,0.5,1124,10738847,3849307,3738521,0.7389405908484974,0.5859681038704512,0.736134743299255,0.7417679097471308,0.6905490278526013,0.5507727716410039,0.7044650102630602,0.7234135027828719,0,0,11,1113,
Crack500,focal_seed2,focal,2,val_selected,0.48,0.48,0.48,0.48,1124,11106635,4388037,3370733,0.7411330693539713,0.5887302710967509,0.7168034921939619,0.7671722511992511,0.694407224247597,0.5546510680907945,0.6872087405514168,0.7509720746615235,0,0,10,1114,
