run_id,loss,seed,status,best_epoch,best_val_f1,best_val_threshold,best_val_pred_foreground_fraction,final_epoch,final_val_f1,final_val_threshold,final_val_pred_foreground_fraction,epochs_trained,early_stopping
bce_seed0,bce,0,complete,99,0.65776,0.43,0.01694661,99,0.65776,0.43,0.01694661,100,False
bce_seed1,bce,1,complete,91,0.65593,0.39,0.01711751,99,0.65592,0.39,0.01734755,100,False
bce_seed2,bce,2,complete,82,0.65433,0.4,0.01713487,99,0.65314,0.42,0.01659451,100,False
focal_seed0,focal,0,complete,98,0.61123,0.44,0.01741211,99,0.6111,0.44,0.01731228,100,False
focal_seed1,focal,1,complete,82,0.61929,0.42,0.01819499,99,0.61376,0.42,0.01879178,100,False
focal_seed2,focal,2,complete,79,0.63615,0.42,0.01821615,99,0.63227,0.43,0.01742839,100,False
bce_dice_seed0,bce_dice,0,complete,77,0.6944,0.85,0.01710286,99,0.68986,0.85,0.0175217,100,False
bce_dice_seed1,bce_dice,1,complete,75,0.69379,0.87,0.01757324,99,0.68396,0.87,0.01778863,100,False
bce_dice_seed2,bce_dice,2,complete,78,0.70137,0.87,0.01633192,99,0.69945,0.89,0.01650499,100,False
focal_tversky_seed0,focal_tversky,0,complete,37,0.47183,0.99,0.03600911,99,0.32383,0.99,0.05931152,100,False
focal_tversky_seed1,focal_tversky,1,complete,52,0.65564,0.97,0.01740777,99,0.60191,0.99,0.01929308,100,False
focal_tversky_seed2,focal_tversky,2,complete,13,0.59393,0.99,0.01532118,99,0.18243,0.98,0.1124018,100,False
dice_boundary_seed0,dice_boundary,0,complete,61,0.49217,0.67,0.01915527,99,0.39926,0.51,0.03295085,100,False
dice_boundary_seed1,dice_boundary,1,complete,99,0.59171,0.65,0.02195584,99,0.59171,0.65,0.02195584,100,False
dice_boundary_seed2,dice_boundary,2,complete,84,0.66117,0.92,0.01889648,99,0.6589,0.92,0.01869249,100,False
dice_cldice_seed0,dice_cldice,0,complete,25,0.32683,0.99,0.05641927,99,0.08567,0.99,0.29804687,100,False
dice_cldice_seed1,dice_cldice,1,complete,15,0.58246,0.98,0.0179975,99,0.28371,0.99,0.07715115,100,False
dice_cldice_seed2,dice_cldice,2,complete,26,0.33437,0.99,0.05556044,99,0.10536,0.94,0.20111057,100,False
