run_id,loss,seed,status,best_epoch,best_val_f1,best_val_threshold,best_val_pred_foreground_fraction,final_epoch,final_val_f1,final_val_threshold,final_val_pred_foreground_fraction,epochs_trained,early_stopping
bce_seed0,bce,0,complete,47,0.8205,0.4,0.05724054,99,0.81649,0.43,0.05758775,100,False
bce_seed1,bce,1,complete,39,0.82126,0.43,0.05739152,99,0.81836,0.41,0.05815933,100,False
bce_seed2,bce,2,complete,53,0.82276,0.45,0.05719974,99,0.81529,0.4,0.05782678,100,False
focal_seed0,focal,0,complete,46,0.81881,0.45,0.05840371,99,0.81566,0.47,0.05796241,100,False
focal_seed1,focal,1,complete,50,0.82201,0.46,0.05767986,99,0.81916,0.47,0.05743081,100,False
focal_seed2,focal,2,complete,53,0.8213,0.48,0.05751632,99,0.81648,0.46,0.05807251,100,False
bce_dice_seed0,bce_dice,0,complete,75,0.82377,0.49,0.05800373,99,0.82205,0.55,0.05804277,100,False
bce_dice_seed1,bce_dice,1,complete,66,0.82212,0.5,0.05789744,99,0.82071,0.5,0.05781225,100,False
bce_dice_seed2,bce_dice,2,complete,77,0.82396,0.43,0.05759239,99,0.82336,0.49,0.05791846,100,False
focal_tversky_seed0,focal_tversky,0,complete,70,0.81587,0.99,0.06489173,99,0.81111,0.99,0.0675062,100,False
focal_tversky_seed1,focal_tversky,1,complete,59,0.81657,0.99,0.06434375,99,0.81464,0.99,0.06644504,100,False
focal_tversky_seed2,focal_tversky,2,complete,45,0.81486,0.99,0.06200132,99,0.80935,0.99,0.06621179,100,False
dice_boundary_seed0,dice_boundary,0,complete,53,0.81605,0.29,0.05631988,99,0.80702,0.01,0.05257027,100,False
dice_boundary_seed1,dice_boundary,1,complete,67,0.81265,0.28,0.05708154,99,0.80547,0.01,0.0529858,100,False
dice_boundary_seed2,dice_boundary,2,complete,53,0.81416,0.01,0.05587423,99,0.80618,0.01,0.05284079,100,False
dice_cldice_seed0,dice_cldice,0,complete,57,0.80296,0.34,0.06113366,99,0.79367,0.5,0.06546312,100,False
dice_cldice_seed1,dice_cldice,1,complete,81,0.81025,0.56,0.06285381,99,0.80935,0.74,0.06285208,100,False
dice_cldice_seed2,dice_cldice,2,complete,55,0.81156,0.29,0.06184854,99,0.80811,0.5,0.06441516,100,False
