run_id,loss,seed,status,best_epoch,best_val_f1,best_val_threshold,best_val_pred_foreground_fraction,final_epoch,final_val_f1,final_val_threshold,final_val_pred_foreground_fraction,epochs_trained,early_stopping
bce_seed0,bce,0,complete,94,0.40471,0.22,0.00700419,99,0.40335,0.22,0.00696913,100,False
bce_seed1,bce,1,complete,95,0.44518,0.23,0.00717877,99,0.4398,0.24,0.00663626,100,False
bce_seed2,bce,2,complete,90,0.49079,0.25,0.00633802,99,0.48818,0.24,0.00692257,100,False
focal_seed0,focal,0,complete,83,0.4514,0.38,0.00634107,99,0.44766,0.38,0.00643135,100,False
focal_seed1,focal,1,complete,97,0.51597,0.4,0.00673512,99,0.514,0.4,0.0066559,100,False
focal_seed2,focal,2,complete,83,0.52162,0.4,0.00663466,99,0.51538,0.39,0.00742828,100,False
bce_dice_seed0,bce_dice,0,complete,94,0.61603,0.74,0.00575412,99,0.61476,0.74,0.00584446,100,False
bce_dice_seed1,bce_dice,1,complete,98,0.64708,0.73,0.00553611,99,0.64677,0.71,0.00562049,100,False
bce_dice_seed2,bce_dice,2,complete,99,0.66741,0.65,0.00551589,99,0.66741,0.65,0.00551589,100,False
focal_tversky_seed0,focal_tversky,0,complete,64,0.65579,0.95,0.00523889,99,0.35905,0.93,0.01428953,100,False
focal_tversky_seed1,focal_tversky,1,complete,49,0.65004,0.95,0.005198,99,0.34965,0.99,0.00638574,100,False
focal_tversky_seed2,focal_tversky,2,complete,95,0.66621,0.88,0.00556659,99,0.66483,0.85,0.00566675,100,False
dice_boundary_seed0,dice_boundary,0,complete,79,0.50735,0.66,0.00714633,99,0.50159,0.5,0.00726904,100,False
dice_boundary_seed1,dice_boundary,1,complete,80,0.62594,0.57,0.00568181,99,0.62009,0.46,0.00577965,100,False
dice_boundary_seed2,dice_boundary,2,complete,76,0.63092,0.54,0.00590709,99,0.62753,0.55,0.00547319,100,False
dice_cldice_seed0,dice_cldice,0,complete,23,0.31478,0.99,0.01807757,99,0.21692,0.99,0.03289768,100,False
dice_cldice_seed1,dice_cldice,1,complete,61,0.59655,0.79,0.00591851,99,0.31087,0.51,0.01819992,100,False
dice_cldice_seed2,dice_cldice,2,complete,12,0.33725,0.99,0.01703758,99,0.16365,0.99,0.04735844,100,False
