run_id,loss,seed,status,best_epoch,best_val_f1,best_val_threshold,best_val_pred_foreground_fraction,final_epoch,final_val_f1,final_val_threshold,final_val_pred_foreground_fraction,epochs_trained,early_stopping
bce_seed0,bce,0,complete,85,0.88092,0.47,0.02985002,99,0.87814,0.48,0.03004055,100,False
bce_seed1,bce,1,complete,74,0.88887,0.46,0.02977614,99,0.88717,0.49,0.02974407,100,False
bce_seed2,bce,2,complete,69,0.88928,0.43,0.02945006,99,0.88496,0.44,0.02994816,100,False
focal_seed0,focal,0,complete,95,0.87348,0.49,0.02960708,99,0.87067,0.52,0.0295675,100,False
focal_seed1,focal,1,complete,90,0.88556,0.5,0.02945788,99,0.88397,0.5,0.02995781,100,False
focal_seed2,focal,2,complete,60,0.88222,0.48,0.02994265,99,0.87667,0.48,0.0300131,100,False
bce_dice_seed0,bce_dice,0,complete,57,0.88666,0.47,0.03017299,99,0.88265,0.67,0.03007693,100,False
bce_dice_seed1,bce_dice,1,complete,84,0.89436,0.61,0.02977143,99,0.89335,0.63,0.03015615,100,False
bce_dice_seed2,bce_dice,2,complete,69,0.89736,0.48,0.02961737,99,0.89686,0.66,0.02958881,100,False
focal_tversky_seed0,focal_tversky,0,complete,39,0.86468,0.98,0.02940123,99,0.37533,0.99,0.11154985,100,False
focal_tversky_seed1,focal_tversky,1,complete,90,0.89227,0.94,0.0301994,99,0.89075,0.97,0.03057327,100,False
focal_tversky_seed2,focal_tversky,2,complete,94,0.88968,0.96,0.03081853,99,0.8879,0.97,0.03092887,100,False
dice_boundary_seed0,dice_boundary,0,complete,84,0.88305,0.53,0.02976058,99,0.88089,0.58,0.03009671,100,False
dice_boundary_seed1,dice_boundary,1,complete,77,0.88668,0.64,0.02972292,99,0.88536,0.72,0.0294716,100,False
dice_boundary_seed2,dice_boundary,2,complete,74,0.89156,0.51,0.02986271,99,0.88936,0.53,0.02977893,100,False
dice_cldice_seed0,dice_cldice,0,complete,11,0.73793,0.94,0.03415384,99,0.39397,0.98,0.10167268,100,False
dice_cldice_seed1,dice_cldice,1,complete,58,0.87655,0.72,0.03003791,99,0.46637,0.67,0.08304699,100,False
dice_cldice_seed2,dice_cldice,2,complete,83,0.87946,0.73,0.03058125,99,0.87067,0.66,0.03014283,100,False
